Vlookup,County,Year,Per Capita Personal Income
Maine2018,Maine,2018,48728
Androscoggin 2018,Androscoggin ,2018,"39,949"
Aroostook 2018,Aroostook ,2018,"41,047"
Cumberland 2018,Cumberland ,2018,"61,071"
Franklin 2018,Franklin ,2018,"39,282"
Hancock 2018,Hancock ,2018,"50,474"
Kennebec  2018,Kennebec  ,2018,"44,316"
Knox 2018,Knox ,2018,"49,242"
Lincoln 2018,Lincoln ,2018,"49,468"
Oxford 2018,Oxford ,2018,"37,897"
Penobscot 2018,Penobscot ,2018,"41,382"
Piscataquis 2018,Piscataquis ,2018,"39,111"
Sagadahoc 2018,Sagadahoc ,2018,"49,997"
Somerset 2018,Somerset ,2018,"37,703"
Waldo 2018,Waldo ,2018,"41,700"
Washington 2018,Washington ,2018,"40,291"
York 2018,York ,2018,"51,745"
Maine2019,Maine,2019,"50,728"
Androscoggin 2019,Androscoggin ,2019,"42,075"
Aroostook 2019,Aroostook ,2019,"42,725"
Cumberland 2019,Cumberland ,2019,"64,975"
Franklin 2019,Franklin ,2019,"40,801"
Hancock 2019,Hancock ,2019,"53,152"
Kennebec  2019,Kennebec  ,2019,"46,421"
Knox 2019,Knox ,2019,"53,097"
Lincoln 2019,Lincoln ,2019,"52,586"
Oxford 2019,Oxford ,2019,"39,353"
Penobscot 2019,Penobscot ,2019,"43,086"
Piscataquis 2019,Piscataquis ,2019,"40,332"
Sagadahoc 2019,Sagadahoc ,2019,"52,027"
Somerset 2019,Somerset ,2019,"39,371"
Waldo 2019,Waldo ,2019,"44,788"
Washington 2019,Washington ,2019,"42,051"
York 2019,York ,2019,"54,335"
Maine2020,Maine,2020,"54,912"
Androscoggin 2020,Androscoggin ,2020,"46,144"
Aroostook 2020,Aroostook ,2020,"47,070"
Cumberland 2020,Cumberland ,2020,"69,624"
Franklin 2020,Franklin ,2020,"44,219"
Hancock 2020,Hancock ,2020,"56,977"
Kennebec  2020,Kennebec  ,2020,"50,530"
Knox 2020,Knox ,2020,"56,532"
Lincoln 2020,Lincoln ,2020,"55,972"
Oxford 2020,Oxford ,2020,"42,694"
Penobscot 2020,Penobscot ,2020,"47,574"
Piscataquis 2020,Piscataquis ,2020,"45,711"
Sagadahoc 2020,Sagadahoc ,2020,"56,312"
Somerset 2020,Somerset ,2020,"43,610"
Waldo 2020,Waldo ,2020,"48,538"
Washington 2020,Washington ,2020,"46,891"
York 2020,York ,2020,"58,085"
Maine2021,Maine,2021,"58,484"
Androscoggin 2021,Androscoggin ,2021,"49,766"
Aroostook 2021,Aroostook ,2021,"49,883"
Cumberland 2021,Cumberland ,2021,"73,972"
Franklin 2021,Franklin ,2021,"47,206"
Hancock 2021,Hancock ,2021,"60,105"
Kennebec  2021,Kennebec  ,2021,"53,658"
Knox 2021,Knox ,2021,"59,420"
Lincoln 2021,Lincoln ,2021,"59,613"
Oxford 2021,Oxford ,2021,"45,332"
Penobscot 2021,Penobscot ,2021,"50,480"
Piscataquis 2021,Piscataquis ,2021,"48,987"
Sagadahoc 2021,Sagadahoc ,2021,"59,843"
Somerset 2021,Somerset ,2021,"46,860"
Waldo 2021,Waldo ,2021,"51,757"
Washington 2021,Washington ,2021,"49,280"
York 2021,York ,2021,"62,355"
Somerset 2021,Somerset ,2021,"46,860"
Waldo 2021,Waldo ,2021,"51,757"
Washington 2021,Washington ,2021,"49,280"
York 2021,York ,2021,"62,355"
