County,Year,Household Income,Family Population
Androscoggin Cty,2021,59287,45770
Aroostook Cty,2021,47278,28939
Cumberland Cty,2021,80679,125986
Franklin Cty,2021,53607,12018
Hancock Cty,2021,60354,24103
Kennebec Cty,2021,58097,52752
Knox Cty,2021,63399,17529
Lincoln Cty,2021,62121,15372
Oxford Cty,2021,51384,22747
Penobscot Cty,2021,55125,62812
Piscataquis Cty,2021,46948,7176
Sagadahoc Cty,2021,73343,15879
Somerset Cty,2021,47488,21596
Waldo Cty,2021,59880,17213
Washington Cty,2021,46689,13258
York Cty,2021,73856,87914
Maine,2021,63182,571064
Androscoggin Cty,2020,55002,45906
Aroostook Cty,2020,43791,29594
Cumberland Cty,2020,76014,123384
Franklin Cty,2020,51630,12426
Hancock Cty,2020,58345,24116
Kennebec Cty,2020,55368,52506
Knox Cty,2020,57794,17497
Lincoln Cty,2020,58125,15665
Oxford Cty,2020,49761,22359
Penobscot Cty,2020,52128,63073
Piscataquis Cty,2020,42083,7180
Sagadahoc Cty,2020,68039,16024
Somerset Cty,2020,45382,21645
Waldo Cty,2020,58034,17427
Washington Cty,2020,44847,13830
York Cty,2020,68932,86919
Maine,2020,59489,569551
Androscoggin Cty,2019,53509,45630
Aroostook Cty,2019,41123,29516
Cumberland Cty,2019,73072,120644
Franklin Cty,2019,51422,11848
Hancock Cty,2019,57178,23661
Kennebec Cty,2019,55365,52105
Knox Cty,2019,57751,17020
Lincoln Cty,2019,57720,15336
Oxford Cty,2019,49204,21338
Penobscot Cty,2019,50808,62156
Piscataquis Cty,2019,40890,7025
Sagadahoc Cty,2019,63694,15980
Somerset Cty,2019,44256,21321
Waldo Cty,2019,51931,17236
Washington Cty,2019,41347,13791
York Cty,2019,67830,85314
Maine,2019,62843,559921
Androscoggin Cty,2018,53509,45630
Aroostook Cty,2018,41123,29516
Cumberland Cty,2018,73072,120644
Franklin Cty,2018,51422,11848
Hancock Cty,2018,57178,23661
Kennebec Cty,2018,55365,52105
Knox Cty,2018,57751,17020
Lincoln Cty,2018,57720,15336
Oxford Cty,2018,49204,21338
Penobscot Cty,2018,50808,62156
Piscataquis Cty,2018,40890,7025
Sagadahoc Cty,2018,63694,15980
Somerset Cty,2018,44256,21321
Waldo Cty,2018,51931,17236
Washington Cty,2018,41347,13791
York Cty,2018,67830,85314
Maine,2018,62843,559921
Penobscot Cty,2018,50808,62156
Piscataquis Cty,2018,40890,7025
Sagadahoc Cty,2018,63694,15980
York Cty,2019,67830,85314
