County,Year,Population
Maine,2021,1372247
Androscoggin Cty,2021,111034
Aroostook Cty,2021,66859
Cumberland Cty,2021,305231
Franklin Cty,2021,29687
Hancock Cty,2021,56192
Kennebec Cty,2021,124486
Knox Cty,2021,41084
Lincoln Cty,2021,35828
Oxford Cty,2021,58629
Penobscot Cty,2021,152765
Piscataquis Cty,2021,17165
Sagadahoc Cty,2021,37071
Somerset Cty,2021,50592
Waldo Cty,2021,39912
Washington Cty,2021,31121
York Cty,2021,214591
Maine,2020,1362280
Androscoggin Cty,2020,111039
Aroostook Cty,2020,66994
Cumberland Cty,2020,303312
Franklin Cty,2020,29418
Hancock Cty,2020,55460
Kennebec Cty,2020,123754
Knox Cty,2020,40609
Lincoln Cty,2020,35192
Oxford Cty,2020,57849
Penobscot Cty,2020,152007
Piscataquis Cty,2020,16768
Sagadahoc Cty,2020,36688
Somerset Cty,2020,50404
Waldo Cty,2020,39635
Washington Cty,2020,31062
York Cty,2020,212089
Maine,2019,1344212
Androscoggin Cty,2019,108277
Aroostook Cty,2019,67055
Cumberland Cty,2019,295003
Franklin Cty,2019,30199
Hancock Cty,2019,54987
Kennebec Cty,2019,122302
Knox Cty,2019,39772
Lincoln Cty,2019,34634
Oxford Cty,2019,57975
Penobscot Cty,2019,152148
Piscataquis Cty,2019,16785
Sagadahoc Cty,2019,35856
Somerset Cty,2019,50484
Waldo Cty,2019,39715
Washington Cty,2019,31379
York Cty,2019,207641
Maine,2018,1339057
Androscoggin Cty,2018,107914
Aroostook Cty,2018,67318
Cumberland Cty,2018,293673
Franklin Cty,2018,29915
Hancock Cty,2018,54734
Kennebec Cty,2018,122044
Knox Cty,2018,39717
Lincoln Cty,2018,34399
Oxford Cty,2018,57754
Penobscot Cty,2018,151817
Piscataquis Cty,2018,16746
Sagadahoc Cty,2018,35690
Somerset Cty,2018,50489
Waldo Cty,2018,39657
Washington Cty,2018,31321
York Cty,2018,205869
Kennebec Cty,2018,122044
Knox Cty,2018,39717
Lincoln Cty,2018,34399
Oxford Cty,2018,57754
