Year,County,Number in Poverty,Percent in Poverty
2018,Androscoggin Cty,12838,12.3
2018,Aroostook Cty,9988,15.3
2018,Cumberland Cty,23332,8.2
2018,Franklin Cty,4141,14.5
2018,Hancock Cty,6233,11.6
2018,Kennebec Cty,13290,11.2
2018,Knox Cty,4209,11
2018,Lincoln Cty,3751,11.1
2018,Oxford Cty,9490,16.7
2018,Penobscot Cty,21154,14.7
2018,Piscataquis Cty,2883,17.5
2018,Sagadahoc Cty,3059,8.7
2018,Somerset Cty,8011,16.1
2018,Waldo Cty,5333,13.7
2018,Washington Cty,5613,18.3
2018,York Cty,18133,9
2019,Androscoggin Cty,10871,10.4
2019,Aroostook Cty,10052,15.5
2019,Cumberland Cty,22333,7.8
2019,Franklin Cty,3653,12.6
2019,Hancock Cty,5695,10.6
2019,Kennebec Cty,13605,11.5
2019,Knox Cty,4174,10.9
2019,Lincoln Cty,3727,11
2019,Oxford Cty,7414,13
2019,Penobscot Cty,17894,12.4
2019,Piscataquis Cty,2717,16.5
2019,Sagadahoc Cty,3054,8.6
2019,Somerset Cty,9059,18.3
2019,Waldo Cty,5318,13.7
2019,Washington Cty,6009,19.6
2019,York Cty,15990,7.9
2020,Androscoggin Cty,12326,11.7
2020,Aroostook Cty,9934,15.3
2020,Cumberland Cty,24812,8.6
2020,Franklin Cty,3713,12.9
2020,Hancock Cty,5586,10.3
2020,Kennebec Cty,13341,11.2
2020,Knox Cty,3927,10.2
2020,Lincoln Cty,3028,8.8
2020,Oxford Cty,7439,13
2020,Penobscot Cty,17558,12.1
2020,Piscataquis Cty,2433,14.6
2020,Sagadahoc Cty,3294,9.2
2020,Somerset Cty,7233,14.5
2020,Waldo Cty,4562,11.6
2020,Washington Cty,3738,12
2020,York Cty,16691,8.1
2021,Androscoggin Cty,15136,14
2021,Aroostook Cty,9666,14.9
2021,Cumberland Cty,22937,7.7
2021,Franklin Cty,3351,11.7
2021,Hancock Cty,6077,11
2021,Kennebec Cty,13702,11.3
2021,Knox Cty,4171,10.5
2021,Lincoln Cty,3266,9.2
2021,Oxford Cty,8728,15.1
2021,Penobscot Cty,21301,14.6
2021,Piscataquis Cty,2376,14
2021,Sagadahoc Cty,3209,8.7
2021,Somerset Cty,7378,14.8
2021,Waldo Cty,5124,13.1
2021,Washington Cty,5602,18.2
2021,York Cty,17548,8.3
2018,Androscoggin Cty,12838,12.3
2018,Aroostook Cty,9988,15.3
2021,Waldo Cty,5124,13.1
2021,Washington Cty,5602,18.2
2020,Somerset Cty,7233,14.5
2020,Waldo Cty,4562,11.6
2019,Washington Cty,6009,19.6
2019,York Cty,15990,7.9
